"Year","total_workers_num_male","total_workers_num_male_we","total_median_earn_male","total_workers_num_female","total_workers_num_female_we","total_median_earn_female","ft_workers_num_male","ft_workers_num_male_we","ft_median_earn_male","ft_workers_num_female","ft_workers_num_female_we","ft_median_earn_female","F/M_earn_ratio"
"2020","87656","87599","49389","79335","79248","35838","59653","59634","61417","45866","45859","50982","0.83"
"2019","89061","89023","49378","80862","80779","36273","67136","67123","58173","52062","52035","47889","0.82299999999999995"
"2018","88165","88115","48182","79493","79440","33661","67220","67205","56995","50807","50795","46488","0.81599999999999995"
"2017","88069","88020","47589","78359","78291","33671","66515","66500","55106","49244","49227","45004","0.81699999999999995"
"2016","86945","86886","45541","77813","77742","33311","64990","64953","55702","48345","48328","44823","0.80500000000000005"
"2015","86466","86435","45468","77066","76974","33046","63891","63887","55953","47232","47211","44514","0.79600000000000004"
"2014","84539","84494","44477","75639","75572","31076","62466","62455","55142","46246","46226","43364","0.78600000000000003"
"2013","83916","83855","44775","74892","74821","30485","61240","61240","55666","44629","44629","43176","0.77600000000000002"
"2012","83070","83003","42825","74252","74188","30363","59028","59009","55794","44059","44042","42684","0.76500000000000001"
"2011","81418","81366","43069","73178","73094","30623","58014","57993","55596","43702","43683","42812","0.77"
"2010","80893","80856","43764","72789","72716","31532","56294","56283","57050","43184","43179","43888","0.76900000000000002"
"2009","81979","81934","43938","73063","72972","31480","56072","56053","56995","43253","43217","43874","0.77"
"2008","84088","84039","44071","74600","74538","30913","59875","59861","55881","44163","44156","43079","0.77100000000000002"
"2007","84532","84482","45848","74382","74295","32386","63000","62984","56458","45640","45613","43929","0.77800000000000002"
"2006","83980","83928","46175","73761","73683","31487","63070","63055","54389","44682","44663","41846","0.76900000000000002"
"2005","82987","82934","45639","72544","72476","30658","61515","61500","54989","43369","43351","42329","0.77"
"2004","81503","81448","44622","72016","71930","30573","60103","60088","56041","42414","42380","42914","0.76600000000000001"
"2003","80554","80508","45214","71446","71372","31043","58784","58772","57375","41922","41908","43346","0.755"
"2002","80548","80500","45662","71500","71411","30919","58774","58761","56890","41900","41876","43578","0.76600000000000001"
"2001","80300","80209","45967","71308","71232","30559","58728","58712","56095","41651","41639","42817","0.76300000000000001"
"2000","80572","80494","46653","71758","71657","30549","59619","59602","56151","41744","41719","41394","0.73699999999999999"
"1999","79360","79322","46877","71153","71053","28738","58318","58299","56714","40890","40871","41013","0.72299999999999998"
"1998","77323","77295","45768","68950","68846","28198","56957","56951","56257","38819","38785","41163","0.73199999999999998"
"1997","76731","76694","43303","67851","67736","26966","54933","54909","54323","37715","37683","40287","0.74199999999999999"
"1996","76165","76121","42496","66744","66661","26415","53801","53787","52976","36457","36430","39076","0.73799999999999999"
"1995","74681","74619","42330","65657","65557","25924","52675","52667","53290","35502","35482","38064","0.71399999999999997"
"1994","74326","74264","40989","64803","64706","24818","51597","51580","53462","34182","34155","38475","0.72"
"1993","73287","73198","39700","63808","63660","24581","49838","49818","53787","33552","33524","38468","0.71499999999999997"
"1992","73142","73120","39721","62535","62408","24531","48554","48551","54763","33296","33241","38764","0.70799999999999996"
